#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
AU|MUN|-31.9783|116.212|216.0|Mundaring, Western Australia|2001-05-31T00:00:00.0000|
AU|NAPP|-33.1828|138.147797|181.0|Napperby JUMP, South Australia|2009-01-01T00:00:00.0000|
AU|NFK|-29.043301|167.938904|203.0|Norfolk Island|2008-05-20T00:00:00.0000|
AU|NIUE|-19.0763|-169.9272|108.8|Niue Island, Niue|2007-06-21T00:00:00.0000|
AU|NRFK|-29.040001|167.962997|196.0|Norfolk Island, Australia|2006-09-26T00:00:00.0000|2008-04-23T00:00:00.0000
AU|NTLH|-32.8983|151.703003|64.0|Newcastle Hard Rock JUMP, New South Wales|2012-09-25T00:00:00.0000|
AU|NTLS|-32.931999|151.762497|13.0|Newcastle Soft JUMP, New South Wales|2010-09-10T00:00:00.0000|
AU|NTNOZ|-17.6278|141.185303|3.2|Mutton Hole Station, Normanton QLD|2018-11-30T00:00:00.0000|2023-06-30T23:59:59.0000
AU|NWAO|-32.9277|117.239|265.0|Narrogin, Western Australia|1994-01-01T00:00:00.0000|
AU|OKDL|-34.0707|150.4805|508.0|Oakdale, Sydney, NSW|2017-02-17T00:00:00.0000|
AU|ONGER|-33.86366|118.39563|340.0|Ongerup, WA|2020-06-25T03:42:35.0000|2024-07-24T23:59:59.0000
AU|OOD|-27.794399|135.688004|162.2|Oodnadatta, South Australia|2013-05-24T00:00:00.0000|
AU|PHB|-35.306999|149.1241|609.0|Parliment House Basement - Canberra|2015-12-16T00:00:00.0000|
AU|PSA00|-21.5725|119.845802|305.0|Pilbara Seismic Array Element A0|2011-01-01T00:00:00.0000|
AU|PSAA1|-21.576689|119.836227|325.0|Pilbara Seismic Array Element A1|2011-01-01T00:00:00.0000|
AU|PSAA2|-21.562828|119.846695|330.0|Pilbara Seismic Array Element A2|2011-01-01T00:00:00.0000|
AU|PSAA3|-21.578085|119.854874|315.0|Pilbara Seismic Array Element A3|2011-01-01T00:00:00.0000|
AU|PSAB1|-21.568909|119.821869|317.0|Pilbara Seismic Array Element B1|2011-01-01T00:00:00.0000|
AU|PSAB2|-21.55485|119.861053|302.0|Pilbara Seismic Array Element B2|2011-01-01T00:00:00.0000|
AU|PSAB3|-21.593241|119.854675|327.0|Pilbara Seismic Array Element B3|2011-01-01T00:00:00.0000|
AU|PSAC1|-21.533709|119.809319|303.0|Pilbara Seismic Array Element C1|2011-01-01T00:00:00.0000|
AU|PSAC2|-21.562519|119.900436|330.0|Pilbara Seismic Array Element C2|2011-01-01T00:00:00.0000|
AU|PSAC3|-21.621359|119.827744|352.0|Pilbara Seismic Array Element C3|2011-01-01T00:00:00.0000|
AU|PSAD1|-21.455038|119.830154|280.0|Pilbara Seismic Array Element D1|2011-01-01T00:00:00.0000|
AU|PSAD2|-21.61713|119.962402|366.0|Pilbara Seismic Array Element D2|2011-01-01T00:00:00.0000|
AU|PSAD3|-21.642984|119.779861|327.0|Pilbara Seismic Array Element D3|2011-01-01T00:00:00.0000|
AU|PTPS|-33.172501|137.994293|9.0|Port Pirie JUMP, SA|2009-01-01T00:00:00.0000|
AU|QIS|-20.557699|139.605194|450.0|Mount Isa, Qld|2005-02-06T00:00:00.0000|
AU|QLP|-26.5837|144.235001|210.0|Quilpie, QLD|2003-11-13T00:00:00.0000|
AU|RABL|-4.1912|152.163696|277.0|Rabaul, Papua New Guinea|2009-04-26T00:00:00.0000|
AU|RIV|-33.829399|151.158295|25.0|St Ignatius College, Riverview, Sydney|2004-11-09T00:00:00.0000|
AU|RK1H|-23.3876|150.493896|66.0|Rockhampton 1 Hard Rock JUMP, QLD|2009-01-13T00:00:00.0000|
AU|RK2S|-23.3102|150.521606|36.0|Rockhampton 2 Soft Rock JUMP, QLD|2008-12-10T00:00:00.0000|
AU|RKGY|-34.6094|116.9773|30.0|Rocky Gully, WA|1999-09-27T00:00:00.0000|
AU|RMQ|-26.489|148.755005|360.0|Roma, QLD|2004-11-22T21:00:00.0000|
AU|SDAN|-34.5073|139.337997|585.0|Sedan SA|2018-06-10T00:00:00.0000|
AU|STKA|-31.8757|141.596405|230.0|Stephens Creek, NSW|1994-03-29T00:00:00.0000|
AU|SYDH|-33.7619|150.7417|55.0|Sydney Hard Rock Urban Monitoring, New South Wales|2010-09-10T00:00:00.0000|2023-12-13T23:59:59.0000
AU|SYDS|-33.9297|151.2243|27.0|Sydney Soft JUMP, NSW|2010-04-30T00:00:00.0000|
AU|TEFOZ|-22.8162|122.5786|372.0|TEFOZ,Parnngurr, WA|2019-10-29T00:00:00.0000|2023-06-30T23:59:59.0000
AU|TOO|-37.5714|145.490601|604.0|Toolangi, VIC|2003-06-25T00:00:00.0000|
AU|TROP|-29.2151|124.4794|343.0|GSWA station|2023-02-09T00:00:00.0000|
AU|TV1H|-19.2614|146.795395|65.0|Townsville 1 Hard JUMP, Queensland|2009-01-01T00:00:00.0000|
AU|TV2S|-19.2904|146.788696|25.0|Townsville 2 Soft Rock Urban Monitoring, Queensland|2012-08-01T00:00:00.0000|2024-08-22T00:00:00.0000
AU|TW1H|-27.544201|151.972|730.0|Toowoomba 1 Hard Rock Urban Monitoring, QLD|2009-01-01T00:00:00.0000|
